"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty48139","Ellis County, TX",32117
"cty18017","Cass County, IN",32098
"cty54055","Mercer County, WV",32096
"cty26049","Genesee County, MI",32076
"cty04007","Gila County, AZ",32067
"cty47051","Franklin County, TN",32060
"cty26145","Saginaw County, MI",32039
"cty48135","Ector County, TX",32037
"cty42099","Perry County, PA",32022
"cty49045","Tooele County, UT",32016
"cty48257","Kaufman County, TX",31999
"cty37081","Guilford County, NC",31998
"cty32005","Douglas County, NV",31992
"cty36011","Cayuga County, NY",31991
"cty48251","Johnson County, TX",31989
"cty27137","St. Louis County, MN",31988
"cty17141","Ogle County, IL",31987
"cty19013","Black Hawk County, IA",31979
"cty36121","Wyoming County, NY",31971
"cty48499","Wood County, TX",31968
"cty23031","York County, ME",31956
"cty48485","Wichita County, TX",31951
"cty26147","St. Clair County, MI",31945
"cty48501","Yoakum County, TX",31938
"cty06073","San Diego County, CA",31933
"cty17195","Whiteside County, IL",31931
"cty25001","Barnstable County, MA",31925
"cty55017","Chippewa County, WI",31923
"cty26163","Wayne County, MI",31913
"cty42011","Berks County, PA",31909
"cty15007","Kauai County, HI",31906
"cty13077","Coweta County, GA",31896
"cty42075","Lebanon County, PA",31890
"cty26051","Gladwin County, MI",31884
"cty55045","Green County, WI",31872
"cty31055","Douglas County, NE",31864
"cty36051","Livingston County, NY",31858
"cty19021","Buena Vista County, IA",31857
"cty17001","Adams County, IL",31845
"cty22011","Beauregard Parish, LA",31842
"cty17091","Kankakee County, IL",31840
"cty36047","Kings County, NY",31829
"cty17089","Kane County, IL",31814
"cty48409","San Patricio County, TX",31810
"cty28045","Hancock County, MS",31809
"cty26081","Kent County, MI",31807
"cty48337","Montague County, TX",31801
"cty23015","Lincoln County, ME",31774
"cty35025","Lea County, NM",31767
"cty04017","Navajo County, AZ",31761
"cty17201","Winnebago County, IL",31758
"cty48475","Ward County, TX",31749
"cty01103","Morgan County, AL",31743
"cty32031","Washoe County, NV",31741
"cty31001","Adams County, NE",31730
"cty26101","Manistee County, MI",31726
"cty12031","Duval County, FL",31725
"cty37163","Sampson County, NC",31713
"cty24015","Cecil County, MD",31695
"cty53035","Kitsap County, WA",31673
"cty16073","Owyhee County, ID",31664
"cty17077","Jackson County, IL",31656
"cty39091","Logan County, OH",31655
"cty25025","Suffolk County, MA",31642
"cty41049","Morrow County, OR",31640
"cty17027","Clinton County, IL",31628
"cty48241","Jasper County, TX",31626
"cty45091","York County, SC",31625
"cty06057","Nevada County, CA",31615
"cty36061","New York County, NY",31609
"cty08123","Weld County, CO",31602
"cty51710","Norfolk city, VA",31591
"cty04025","Yavapai County, AZ",31581
"cty37097","Iredell County, NC",31564
"cty27041","Douglas County, MN",31564
"cty17161","Rock Island County, IL",31549
"cty53009","Clallam County, WA",31520
"cty48303","Lubbock County, TX",31519
"cty55073","Marathon County, WI",31513
"cty37049","Craven County, NC",31508
"cty51670","Hopewell city, VA",31505
"cty26149","St. Joseph County, MI",31500
"cty49035","Salt Lake County, UT",31480
"cty32007","Elko County, NV",31480
"cty08014","Broomfield County, CO",31469
"cty48005","Angelina County, TX",31467
"cty45037","Edgefield County, SC",31449
"cty36071","Orange County, NY",31442
"cty01003","Baldwin County, AL",31434
"cty16051","Jefferson County, ID",31421
